ID,posemo,extraversion,obs
Josh,4,5,37
Josh,6,4,38
Josh,4,3.333333333,39
Josh,4,4.333333333,40
Josh,6,4.333333333,41
Josh,6,4,42
Josh,8,7,43
Josh,6,7.333333333,44
Josh,7,2.666666667,45
Josh,4,3.666666667,46
Josh,8,4.666666667,47
Josh,5,3,48
Josh,5,4,49
Josh,6,2.666666667,50
Josh,7,7.333333333,51
Josh,5,3,52
Josh,6,5,53
Josh,6,4.333333333,54
Josh,2,3.666666667,55
Josh,8,7,56
Josh,5,5.666666667,57
Josh,6,4.666666667,58
Josh,6,5.333333333,59
Josh,5,5.333333333,60
Qilin,8,5,1
Qilin,NA,1.666666667,2
Qilin,2,2.333333333,3
Qilin,3,1.666666667,4
Qilin,NA,NA,5
Qilin,2,2,6
Qilin,2,1.333333333,7
Qilin,2,3.666666667,8
Qilin,2,1.666666667,9
Qilin,2,1.666666667,10
Qilin,NA,NA,11
Qilin,4,2.666666667,12
Qilin,2,1.666666667,13
Qilin,2,1.666666667,14
Qilin,2,2.333333333,15
Qilin,NA,NA,16
Qilin,2,1.666666667,17
Qilin,2,2,18
Qilin,2,1.333333333,19
Qilin,2,2,20
Qilin,2,2.333333333,21
Qilin,2,1.666666667,22
Qilin,2,2,23
Qilin,3,2.333333333,24
Qilin,2,1.666666667,25
Qilin,2,2,26
Qilin,2,2.666666667,27
Qilin,2,1.666666667,28
Qilin,2,2,29
Qilin,2,2,30
Qilin,2,1.333333333,31
Qilin,NA,NA,32
Qilin,3,1,33
Qilin,NA,NA,34
Qilin,3,1.333333333,35
Qilin,2,1,36
Qilin,NA,NA,37
Qilin,NA,NA,38
Qilin,2,1.333333333,39
Qilin,2,1.666666667,40
Qilin,2,1.333333333,41
Qilin,3,1,42
Qilin,2,1.333333333,43
Qilin,2,2,44
Qilin,2,1.333333333,45
Qilin,2,1.666666667,46
Qilin,3,2,47
Qilin,9,3.333333333,48
Qilin,NA,NA,49
Qilin,2,1.666666667,50
Qilin,3,1.666666667,51
Qilin,2,2.333333333,52
Qilin,2,1.666666667,53
Qilin,2,1.333333333,54
Qilin,2,1.666666667,55
Qilin,2,1.333333333,56
Qilin,2,1.666666667,57
Qilin,2,1.333333333,58
Qilin,2,1.666666667,59
Qilin,NA,NA,60
Jessie,8,2.666666667,1
Jessie,7,4,2
Jessie,9,6.333333333,3
Jessie,9,2.666666667,4
Jessie,8,6.333333333,5
Jessie,6,7,6
Jessie,10,3.666666667,7
Jessie,10,1,8
Jessie,10,5.666666667,9
Jessie,10,6.666666667,10
Jessie,10,6.333333333,11
Jessie,10,7,12
Jessie,10,6.666666667,13
Jessie,6,7,14
Jessie,7,6.666666667,15
Jessie,6,2.666666667,16
Jessie,5,3.333333333,17
Jessie,6,2,18
Jessie,1,4,19
Jessie,4,2.666666667,20
Jessie,8,4.666666667,21
Jessie,1,2.333333333,22
Jessie,5,3,23
Jessie,5,2,24
Jessie,3,4.333333333,25
Jessie,5,2.333333333,26
Jessie,5,3,27
Jessie,6,3,28
Jessie,1,3,29
Jessie,3,3.666666667,30
Jessie,1,1.333333333,31
Jessie,5,2,32
Jessie,4,1.666666667,33
Jessie,3,2.333333333,34
Jessie,5,2,35
Jessie,5,4,36
Jessie,7,2,37
Jessie,1,2.333333333,38
